process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
total,medium,ssp119,5,0.039,0.072,0.095,0.13,0.148,0.177,0.193,0.215,0.212,0.241,0.256,0.269,0.28,0.29
total,medium,ssp119,17,0.043,0.08,0.107,0.146,0.169,0.206,0.231,0.26,0.275,0.296,0.317,0.335,0.353,0.369
total,medium,ssp119,50,0.049,0.092,0.128,0.176,0.21,0.26,0.301,0.348,0.384,0.428,0.466,0.502,0.536,0.569
total,medium,ssp119,83,0.061,0.117,0.168,0.232,0.286,0.356,0.421,0.489,0.548,0.62,0.682,0.74,0.798,0.855
total,medium,ssp119,95,0.074,0.141,0.207,0.289,0.361,0.449,0.53,0.62,0.704,0.781,0.865,0.945,1.022,1.1
total,medium,ssp126,5,0.039,0.072,0.102,0.141,0.17,0.207,0.23,0.252,0.265,0.293,0.315,0.335,0.354,0.371
total,medium,ssp126,17,0.043,0.079,0.114,0.158,0.192,0.234,0.266,0.298,0.324,0.351,0.38,0.407,0.433,0.457
total,medium,ssp126,50,0.049,0.092,0.136,0.189,0.232,0.29,0.338,0.386,0.436,0.497,0.545,0.591,0.637,0.681
total,medium,ssp126,83,0.061,0.117,0.175,0.247,0.311,0.391,0.466,0.539,0.615,0.702,0.777,0.851,0.923,0.994
total,medium,ssp126,95,0.074,0.141,0.214,0.303,0.386,0.486,0.584,0.68,0.778,0.874,0.973,1.07,1.162,1.255
total,medium,ssp245,5,0.039,0.072,0.108,0.157,0.197,0.242,0.287,0.326,0.371,0.395,0.436,0.476,0.515,0.553
total,medium,ssp245,17,0.043,0.08,0.119,0.173,0.219,0.273,0.323,0.378,0.435,0.463,0.513,0.562,0.611,0.657
total,medium,ssp245,50,0.049,0.093,0.142,0.204,0.262,0.33,0.403,0.476,0.556,0.628,0.702,0.775,0.848,0.919
total,medium,ssp245,83,0.061,0.117,0.18,0.263,0.343,0.437,0.54,0.646,0.759,0.887,1,1.113,1.223,1.332
total,medium,ssp245,95,0.073,0.139,0.217,0.317,0.416,0.534,0.662,0.794,0.939,1.08,1.22,1.359,1.498,1.635
total,medium,ssp370,5,0.039,0.073,0.113,0.167,0.216,0.276,0.337,0.406,0.48,0.497,0.564,0.632,0.698,0.763
total,medium,ssp370,17,0.043,0.081,0.124,0.183,0.239,0.306,0.377,0.457,0.548,0.571,0.651,0.731,0.809,0.885
total,medium,ssp370,50,0.049,0.094,0.145,0.215,0.282,0.366,0.458,0.561,0.679,0.758,0.868,0.978,1.086,1.19
total,medium,ssp370,83,0.061,0.117,0.185,0.274,0.365,0.476,0.6,0.741,0.901,1.043,1.199,1.355,1.506,1.652
total,medium,ssp370,95,0.073,0.141,0.224,0.331,0.443,0.58,0.735,0.906,1.108,1.277,1.467,1.657,1.846,2.031
total,medium,ssp585,5,0.039,0.078,0.122,0.18,0.238,0.307,0.377,0.468,0.555,0.557,0.633,0.706,0.776,0.839
total,medium,ssp585,17,0.043,0.085,0.134,0.198,0.262,0.339,0.42,0.52,0.625,0.642,0.732,0.818,0.9,0.976
total,medium,ssp585,50,0.05,0.098,0.157,0.232,0.31,0.404,0.509,0.633,0.766,0.856,0.98,1.1,1.214,1.322
total,medium,ssp585,83,0.062,0.122,0.197,0.293,0.396,0.522,0.664,0.828,1.011,1.191,1.37,1.545,1.715,1.878
total,medium,ssp585,95,0.074,0.147,0.237,0.353,0.479,0.633,0.811,1.015,1.242,1.476,1.698,1.919,2.132,2.335
total,low,ssp126,5,0.039,0.072,0.1,0.13,0.164,0.198,0.229,0.252,0.265,0.293,0.315,0.335,0.354,0.371
total,low,ssp126,17,0.043,0.079,0.114,0.158,0.192,0.234,0.266,0.298,0.324,0.351,0.38,0.407,0.433,0.457
total,low,ssp126,50,0.052,0.097,0.142,0.196,0.244,0.301,0.352,0.402,0.452,0.517,0.57,0.624,0.679,0.734
total,low,ssp126,83,0.07,0.138,0.221,0.31,0.399,0.49,0.585,0.684,0.791,0.898,1.008,1.117,1.226,1.337
total,low,ssp126,95,0.077,0.169,0.282,0.4,0.516,0.638,0.775,0.925,1.085,1.245,1.401,1.553,1.709,1.874
total,low,ssp585,5,0.039,0.074,0.108,0.159,0.224,0.296,0.372,0.45,0.53,0.557,0.633,0.706,0.776,0.839
total,low,ssp585,17,0.043,0.085,0.133,0.195,0.259,0.339,0.42,0.52,0.625,0.642,0.732,0.818,0.9,0.976
total,low,ssp585,50,0.052,0.101,0.161,0.24,0.326,0.432,0.557,0.709,0.88,1.047,1.248,1.469,1.712,1.978
total,low,ssp585,83,0.071,0.15,0.258,0.397,0.569,0.778,1.028,1.304,1.603,1.897,2.181,2.848,3.797,4.821
total,low,ssp585,95,0.081,0.195,0.352,0.541,0.767,1.046,1.398,1.8,2.274,2.818,3.401,4.049,4.741,5.435
